+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
|               123 |  5 |   RUNNING |   WAITING |
|               123 | 10 |     READY |   RUNNING |
|               124 |  1 |   WAITING |     READY |
|               124 | 10 |   RUNNING |   WAITING |
|               124 |  1 |     READY |   RUNNING |
|               125 |  1 |   RUNNING |   WAITING |
|               126 |  5 |   WAITING |     READY |
|               126 | 10 |   WAITING |     READY |
|               126 |  5 |     READY |   RUNNING |
|               127 |  1 |   WAITING |     READY |
|               127 |  5 |   RUNNING |   WAITING |
|               127 |  1 |     READY |   RUNNING |
|               128 |  1 |   RUNNING |   WAITING |
|               128 | 10 |     READY |   RUNNING |
|               129 | 10 |   RUNNING |   WAITING |
|               130 |  5 |   WAITING |     READY |
|               130 |  1 |   WAITING |     READY |
|               130 |  1 |     READY |   RUNNING |
|               131 | 10 |   WAITING |     READY |
|               131 |  1 |   RUNNING |   WAITING |
|               131 |  5 |     READY |   RUNNING |
|               132 |  5 |   RUNNING |   WAITING |
|               132 | 10 |     READY |   RUNNING |
|               133 |  1 |   WAITING |     READY |
|               133 | 10 |   RUNNING |   WAITING |
|               133 |  1 |     READY |   RUNNING |
|               134 |  1 |   RUNNING |TERMINATED |
|               135 |  5 |   WAITING |     READY |
|               135 | 10 |   WAITING |     READY |
|               135 |  5 |     READY |   RUNNING |
|               136 |  5 |   RUNNING |   WAITING |
|               136 | 10 |     READY |   RUNNING |
|               137 | 10 |   RUNNING |   WAITING |
|               139 |  5 |   WAITING |     READY |
|               139 | 10 |   WAITING |     READY |
|               139 |  5 |     READY |   RUNNING |
|               140 |  5 |   RUNNING |   WAITING |
|               140 | 10 |     READY |   RUNNING |
|               141 | 10 |   RUNNING |   WAITING |
|               143 |  5 |   WAITING |     READY |
|               143 | 10 |   WAITING |     READY |
|               143 |  5 |     READY |   RUNNING |
|               144 |  5 |   RUNNING |   WAITING |
|               144 | 10 |     READY |   RUNNING |
|               145 | 10 |   RUNNING |   WAITING |
|               147 |  5 |   WAITING |     READY |
|               147 | 10 |   WAITING |     READY |
|               147 |  5 |     READY |   RUNNING |
|               148 |  5 |   RUNNING |   WAITING |
|               148 | 10 |     READY |   RUNNING |
|               149 | 10 |   RUNNING |   WAITING |
|               151 |  5 |   WAITING |     READY |
|               151 | 10 |   WAITING |     READY |
|               151 |  5 |     READY |   RUNNING |
|               152 |  5 |   RUNNING |   WAITING |
|               152 | 10 |     READY |   RUNNING |
|               153 | 10 |   RUNNING |   WAITING |
|               155 |  5 |   WAITING |     READY |
|               155 | 10 |   WAITING |     READY |
|               155 |  5 |     READY |   RUNNING |
|               156 |  5 |   RUNNING |   WAITING |
|               156 | 10 |     READY |   RUNNING |
|               157 | 10 |   RUNNING |   WAITING |
|               159 |  5 |   WAITING |     READY |
|               159 | 10 |   WAITING |     READY |
|               159 |  5 |     READY |   RUNNING |
|               160 |  5 |   RUNNING |   WAITING |
|               160 | 10 |     READY |   RUNNING |
|               161 | 10 |   RUNNING |   WAITING |
|               163 |  5 |   WAITING |     READY |
|               163 | 10 |   WAITING |     READY |
|               163 |  5 |     READY |   RUNNING |
|               164 |  5 |   RUNNING |   WAITING |
|               164 | 10 |     READY |   RUNNING |
|               165 | 10 |   RUNNING |   WAITING |
|               167 |  5 |   WAITING |     READY |
|               167 | 10 |   WAITING |     READY |
|               167 |  5 |     READY |   RUNNING |
|               168 |  5 |   RUNNING |   WAITING |
|               168 | 10 |     READY |   RUNNING |
|               169 | 10 |   RUNNING |   WAITING |
|               171 |  5 |   WAITING |     READY |
|               171 | 10 |   WAITING |     READY |
|               171 |  5 |     READY |   RUNNING |
|               172 |  5 |   RUNNING |   WAITING |
|               172 | 10 |     READY |   RUNNING |
|               173 | 10 |   RUNNING |   WAITING |
|               175 |  5 |   WAITING |     READY |
|               175 | 10 |   WAITING |     READY |
|               175 |  5 |     READY |   RUNNING |
|               176 |  5 |   RUNNING |   WAITING |
|               176 | 10 |     READY |   RUNNING |
|               177 | 10 |   RUNNING |   WAITING |
|               179 |  5 |   WAITING |     READY |
|               179 | 10 |   WAITING |     READY |
|               179 |  5 |     READY |   RUNNING |
|               180 |  5 |   RUNNING |   WAITING |
|               180 | 10 |     READY |   RUNNING |
|               181 | 10 |   RUNNING |   WAITING |
|               183 |  5 |   WAITING |     READY |
|               183 | 10 |   WAITING |     READY |
|               183 |  5 |     READY |   RUNNING |
|               184 |  5 |   RUNNING |   WAITING |
|               184 | 10 |     READY |   RUNNING |
|               185 | 10 |   RUNNING |   WAITING |
|               187 |  5 |   WAITING |     READY |
|               187 | 10 |   WAITING |     READY |
|               187 |  5 |     READY |   RUNNING |
|               188 |  5 |   RUNNING |   WAITING |
|               188 | 10 |     READY |   RUNNING |
|               189 | 10 |   RUNNING |   WAITING |
|               191 |  5 |   WAITING |     READY |
|               191 | 10 |   WAITING |     READY |
|               191 |  5 |     READY |   RUNNING |
|               192 |  5 |   RUNNING |   WAITING |
|               192 | 10 |     READY |   RUNNING |
|               193 | 10 |   RUNNING |   WAITING |
|               195 |  5 |   WAITING |     READY |
|               195 | 10 |   WAITING |     READY |
|               195 |  5 |     READY |   RUNNING |
|               196 |  5 |   RUNNING |   WAITING |
|               196 | 10 |     READY |   RUNNING |
|               197 | 10 |   RUNNING |   WAITING |
